cluster_id,cluster_name_raw,radius_arcsec,N_stars,sigma_kms,sigma_err_up_kms,sigma_err_low_kms,data_type
NGC6101,NGC 6101,118.85,36.0,2.21,0.44,0.38,RV
NGC6101,NGC 6101,137.74,42.0,2.9,0.38,0.32,VB21
NGC6121,NGC 6121,13.5,57.0,5.11,0.35,0.35,LI22
NGC6121,NGC 6121,29.64,110.0,4.88,0.25,0.25,LI22
NGC6121,NGC 6121,46.1,110.0,4.93,0.25,0.25,LI22
NGC6121,NGC 6121,46.97,200.0,4.84,0.26,0.24,RV
NGC6121,NGC 6121,62.55,110.0,4.79,0.24,0.24,LI22
NGC6121,NGC 6121,79.68,110.0,4.76,0.24,0.24,LI22
NGC6121,NGC 6121,89.34,200.0,4.74,0.25,0.23,RV
NGC6121,NGC 6121,106.73,109.0,4.98,0.25,0.25,LI22
NGC6121,NGC 6121,108.87,700.0,4.45,0.13,0.12,VB21
NGC6121,NGC 6121,119.73,200.0,4.6,0.24,0.22,RV
NGC6121,NGC 6121,145.54,200.0,4.08,0.22,0.2,RV
NGC6121,NGC 6121,156.61,700.0,4.41,0.13,0.12,VB21
NGC6121,NGC 6121,170.78,200.0,4.0,0.21,0.19,RV
NGC6121,NGC 6121,192.76,700.0,4.25,0.12,0.12,VB21
NGC6121,NGC 6121,196.66,200.0,4.05,0.22,0.2,RV
NGC6121,NGC 6121,226.24,700.0,4.27,0.12,0.12,VB21
NGC6121,NGC 6121,226.33,200.0,4.02,0.21,0.2,RV
NGC6121,NGC 6121,257.27,700.0,4.03,0.12,0.11,VB21
NGC6121,NGC 6121,259.42,200.0,4.35,0.23,0.21,RV
NGC6121,NGC 6121,291.97,700.0,3.91,0.11,0.11,VB21
NGC6121,NGC 6121,293.46,200.0,4.03,0.21,0.2,RV
NGC6121,NGC 6121,328.0,700.0,3.95,0.11,0.11,VB21
NGC6121,NGC 6121,333.3,200.0,4.18,0.22,0.21,RV
NGC6121,NGC 6121,363.49,700.0,3.72,0.11,0.1,VB21
NGC6121,NGC 6121,376.76,200.0,3.58,0.19,0.18,RV
NGC6121,NGC 6121,402.29,700.0,3.62,0.11,0.1,VB21
NGC6121,NGC 6121,431.16,200.0,3.57,0.19,0.17,RV
NGC6121,NGC 6121,446.5,700.0,3.41,0.1,0.09,VB21
NGC6121,NGC 6121,494.95,700.0,3.33,0.1,0.09,VB21
NGC6121,NGC 6121,498.05,200.0,3.32,0.18,0.16,RV
NGC6121,NGC 6121,551.0,700.0,3.05,0.09,0.09,VB21
NGC6121,NGC 6121,580.63,200.0,3.31,0.18,0.17,RV
NGC6121,NGC 6121,622.81,700.0,3.08,0.09,0.09,VB21
NGC6121,NGC 6121,717.85,700.0,2.86,0.09,0.08,VB21
NGC6121,NGC 6121,839.68,570.0,2.82,0.09,0.09,VB21
NGC6121,NGC 6121,998.32,65.0,2.68,0.27,0.23,RV
NGC6144,NGC 6144,14.36,62.0,3.79,0.31,0.31,LI22
NGC6144,NGC 6144,29.63,132.0,3.98,0.19,0.19,LI22
NGC6144,NGC 6144,45.66,132.0,3.55,0.19,0.19,LI22
NGC6144,NGC 6144,61.04,131.0,3.83,0.19,0.19,LI22
NGC6144,NGC 6144,78.44,131.0,3.59,0.19,0.19,LI22
NGC6144,NGC 6144,120.23,76.0,3.04,0.3,0.26,VB21
NGC6144,NGC 6144,138.93,30.0,2.56,0.48,0.4,RV
NGC6171,NGC 6171,7.04,42.0,3.5,0.29,0.29,LI22
NGC6171,NGC 6171,20.11,60.0,3.8,0.43,0.36,RV
NGC6171,NGC 6171,21.44,200.0,3.84,0.13,0.13,LI22
NGC6171,NGC 6171,36.58,200.0,3.58,0.13,0.13,LI22
NGC6171,NGC 6171,49.82,60.0,4.21,0.44,0.39,RV
NGC6171,NGC 6171,50.47,199.0,3.5,0.13,0.13,LI22
NGC6171,NGC 6171,63.31,199.0,3.6,0.13,0.13,LI22
NGC6171,NGC 6171,81.74,199.0,3.47,0.13,0.13,LI22
NGC6171,NGC 6171,82.03,250.0,3.36,0.2,0.19,VB21
NGC6171,NGC 6171,88.5,60.0,3.62,0.39,0.34,RV
NGC6171,NGC 6171,123.39,60.0,3.53,0.39,0.33,RV
NGC6171,NGC 6171,151.9,250.0,2.87,0.2,0.18,VB21
NGC6171,NGC 6171,173.0,60.0,3.02,0.31,0.27,RV
NGC6171,NGC 6171,242.3,60.0,2.64,0.28,0.25,RV
NGC6171,NGC 6171,256.3,250.0,2.92,0.19,0.18,VB21
NGC6171,NGC 6171,390.94,43.0,2.59,0.34,0.29,RV
NGC6171,NGC 6171,544.67,83.0,2.08,0.3,0.27,VB21
NGC6205,NGC 6205,6.87,134.0,9.11,0.39,0.39,LI22
NGC6205,NGC 6205,14.17,257.0,8.65,0.28,0.28,LI22
NGC6205,NGC 6205,20.12,257.0,8.9,0.28,0.28,LI22
NGC6205,NGC 6205,22.32,75.0,7.68,0.68,0.59,RV
NGC6205,NGC 6205,25.22,257.0,8.58,0.28,0.28,LI22
NGC6205,NGC 6205,29.27,257.0,8.76,0.28,0.28,LI22
NGC6205,NGC 6205,33.58,257.0,8.79,0.28,0.28,LI22
NGC6205,NGC 6205,37.25,257.0,8.93,0.28,0.28,LI22
NGC6205,NGC 6205,41.17,257.0,8.69,0.28,0.28,LI22
NGC6205,NGC 6205,45.07,257.0,8.44,0.28,0.28,LI22
NGC6205,NGC 6205,48.68,257.0,8.02,0.25,0.25,LI22
NGC6205,NGC 6205,52.62,256.0,7.81,0.25,0.25,LI22
NGC6205,NGC 6205,56.24,256.0,7.98,0.25,0.25,LI22
NGC6205,NGC 6205,59.8,256.0,8.02,0.25,0.25,LI22
NGC6205,NGC 6205,63.08,256.0,7.74,0.25,0.25,LI22
NGC6205,NGC 6205,67.18,256.0,7.7,0.25,0.25,LI22
NGC6205,NGC 6205,71.12,256.0,7.81,0.25,0.25,LI22
NGC6205,NGC 6205,75.37,256.0,7.91,0.25,0.25,LI22
NGC6205,NGC 6205,79.91,256.0,7.88,0.25,0.25,LI22
NGC6205,NGC 6205,84.69,256.0,7.77,0.25,0.25,LI22
NGC6205,NGC 6205,90.39,256.0,7.7,0.25,0.25,LI22
NGC6205,NGC 6205,90.95,75.0,6.93,0.61,0.54,RV
NGC6205,NGC 6205,100.16,256.0,7.32,0.25,0.25,LI22
NGC6205,NGC 6205,172.89,75.0,5.98,0.53,0.47,RV
NGC6205,NGC 6205,176.65,300.0,6.11,0.29,0.27,VB21
NGC6205,NGC 6205,233.45,300.0,6.04,0.3,0.27,VB21
NGC6205,NGC 6205,283.15,300.0,5.54,0.27,0.26,VB21
NGC6205,NGC 6205,293.87,75.0,5.85,0.52,0.46,RV
NGC6205,NGC 6205,338.85,300.0,5.35,0.27,0.25,VB21
NGC6205,NGC 6205,454.51,205.0,4.16,0.27,0.25,VB21
NGC6205,NGC 6205,490.0,75.0,4.22,0.39,0.34,RV
NGC6205,NGC 6205,820.44,51.0,3.07,0.37,0.31,RV
NGC6218,NGC 6218,9.86,300.0,5.16,0.25,0.23,RV
NGC6218,NGC 6218,10.42,76.0,4.21,0.24,0.24,LI22
NGC6218,NGC 6218,20.09,300.0,4.67,0.23,0.21,RV
NGC6218,NGC 6218,20.2,126.0,4.63,0.22,0.22,LI22
NGC6218,NGC 6218,27.09,300.0,4.79,0.23,0.21,RV
NGC6218,NGC 6218,28.93,126.0,4.46,0.22,0.22,LI22
NGC6218,NGC 6218,32.86,300.0,4.84,0.24,0.22,RV
NGC6218,NGC 6218,36.59,126.0,4.55,0.22,0.22,LI22
NGC6218,NGC 6218,38.31,300.0,4.76,0.23,0.21,RV
NGC6218,NGC 6218,43.52,300.0,4.54,0.22,0.21,RV
NGC6218,NGC 6218,44.33,126.0,4.87,0.22,0.22,LI22
NGC6218,NGC 6218,48.25,300.0,4.5,0.22,0.21,RV
NGC6218,NGC 6218,52.37,126.0,4.19,0.19,0.19,LI22
NGC6218,NGC 6218,53.44,300.0,4.4,0.21,0.21,RV
NGC6218,NGC 6218,58.69,126.0,4.48,0.19,0.19,LI22
NGC6218,NGC 6218,61.66,300.0,4.54,0.22,0.21,RV
NGC6218,NGC 6218,66.83,125.0,3.85,0.17,0.17,LI22
NGC6218,NGC 6218,74.56,125.0,3.95,0.17,0.17,LI22
NGC6218,NGC 6218,82.13,125.0,4.29,0.19,0.19,LI22
NGC6218,NGC 6218,83.51,100.0,4.34,0.35,0.32,RV
NGC6218,NGC 6218,92.71,125.0,4.09,0.19,0.19,LI22
NGC6218,NGC 6218,109.76,300.0,4.13,0.22,0.2,VB21
NGC6218,NGC 6218,128.58,100.0,3.41,0.26,0.23,RV
NGC6218,NGC 6218,146.27,300.0,4.03,0.23,0.22,VB21
NGC6218,NGC 6218,173.95,300.0,3.29,0.2,0.19,VB21
NGC6218,NGC 6218,187.44,100.0,3.09,0.24,0.21,RV
NGC6218,NGC 6218,200.98,300.0,3.61,0.21,0.2,VB21
NGC6218,NGC 6218,228.78,300.0,3.44,0.22,0.21,VB21
NGC6218,NGC 6218,259.52,300.0,3.24,0.21,0.2,VB21
NGC6218,NGC 6218,303.65,300.0,2.74,0.2,0.19,VB21
NGC6218,NGC 6218,353.26,300.0,3.11,0.22,0.21,VB21
NGC6218,NGC 6218,355.96,102.0,2.96,0.23,0.21,RV
NGC6218,NGC 6218,434.41,300.0,2.6,0.2,0.19,VB21
NGC6218,NGC 6218,539.35,115.0,2.06,0.27,0.25,VB21
NGC6254,NGC 6254,7.85,400.0,6.45,0.27,0.25,RV
NGC6254,NGC 6254,10.75,120.0,6.37,0.31,0.31,LI22
NGC6254,NGC 6254,16.24,400.0,5.88,0.25,0.23,RV
NGC6254,NGC 6254,18.11,117.0,5.76,0.29,0.29,LI22
NGC6254,NGC 6254,22.29,400.0,5.59,0.24,0.23,RV
NGC6254,NGC 6254,23.61,117.0,6.08,0.29,0.29,LI22
NGC6254,NGC 6254,27.74,400.0,6.34,0.26,0.25,RV
NGC6254,NGC 6254,28.59,117.0,6.15,0.29,0.29,LI22
NGC6254,NGC 6254,32.73,400.0,5.52,0.24,0.22,RV
NGC6254,NGC 6254,34.2,117.0,6.13,0.29,0.29,LI22
NGC6254,NGC 6254,37.25,400.0,5.74,0.25,0.23,RV
NGC6254,NGC 6254,39.45,117.0,5.76,0.26,0.26,LI22
NGC6254,NGC 6254,41.66,400.0,5.74,0.24,0.23,RV
NGC6254,NGC 6254,44.51,117.0,6.27,0.29,0.29,LI22
NGC6254,NGC 6254,46.05,400.0,6.02,0.25,0.24,RV
NGC6254,NGC 6254,49.26,116.0,5.88,0.29,0.29,LI22
NGC6254,NGC 6254,50.34,400.0,5.82,0.25,0.23,RV
NGC6254,NGC 6254,53.83,116.0,5.45,0.26,0.26,LI22
NGC6254,NGC 6254,55.63,400.0,5.26,0.24,0.22,RV
NGC6254,NGC 6254,58.3,116.0,5.52,0.26,0.26,LI22
NGC6254,NGC 6254,63.36,116.0,6.1,0.29,0.29,LI22
NGC6254,NGC 6254,67.03,400.0,5.9,0.25,0.23,RV
NGC6254,NGC 6254,68.47,116.0,5.72,0.26,0.26,LI22
NGC6254,NGC 6254,73.29,116.0,5.5,0.26,0.26,LI22
NGC6254,NGC 6254,79.47,116.0,5.79,0.29,0.29,LI22
NGC6254,NGC 6254,85.08,400.0,5.32,0.23,0.22,RV
NGC6254,NGC 6254,85.72,116.0,5.36,0.26,0.26,LI22
NGC6254,NGC 6254,96.02,200.0,5.07,0.32,0.3,RV
NGC6254,NGC 6254,114.83,100.0,5.13,0.42,0.38,RV
NGC6254,NGC 6254,143.25,300.0,4.96,0.23,0.21,VB21
NGC6254,NGC 6254,181.31,100.0,5.01,0.39,0.34,RV
NGC6254,NGC 6254,231.43,300.0,4.22,0.19,0.19,VB21
NGC6254,NGC 6254,281.32,100.0,4.22,0.33,0.29,RV
NGC6254,NGC 6254,358.42,300.0,3.61,0.17,0.16,VB21
NGC6254,NGC 6254,448.08,49.0,2.73,0.32,0.28,RV
NGC6254,NGC 6254,574.92,146.0,2.75,0.22,0.2,VB21
NGC6304,NGC 6304,6.64,68.0,5.02,0.35,0.35,LI22
NGC6304,NGC 6304,13.93,117.0,5.1,0.26,0.26,LI22
NGC6304,NGC 6304,21.61,117.0,5.54,0.29,0.29,LI22
NGC6304,NGC 6304,27.73,51.0,5.68,0.62,0.53,RV
NGC6304,NGC 6304,27.8,117.0,5.48,0.29,0.29,LI22
NGC6304,NGC 6304,35.55,117.0,5.34,0.29,0.29,LI22
NGC6304,NGC 6304,44.07,117.0,5.25,0.26,0.26,LI22
NGC6304,NGC 6304,55.28,117.0,5.05,0.26,0.26,LI22
NGC6304,NGC 6304,56.82,51.0,4.93,0.55,0.46,RV
NGC6304,NGC 6304,73.94,117.0,4.64,0.23,0.23,LI22
NGC6304,NGC 6304,84.03,90.0,3.8,0.41,0.36,VB21
NGC6304,NGC 6304,102.23,51.0,4.76,0.53,0.45,RV
NGC6304,NGC 6304,162.44,30.0,3.75,0.64,0.53,VB21
NGC6304,NGC 6304,177.87,52.0,3.42,0.38,0.32,RV
NGC6341,NGC 6341,3.24,54.0,7.78,0.56,0.56,LI22
NGC6341,NGC 6341,7.81,126.0,8.02,0.36,0.36,LI22
NGC6341,NGC 6341,12.09,146.0,8.34,0.36,0.36,LI22
NGC6341,NGC 6341,13.23,50.0,7.81,0.86,0.73,RV
NGC6341,NGC 6341,15.52,146.0,8.26,0.36,0.36,LI22
NGC6341,NGC 6341,18.95,146.0,8.5,0.36,0.36,LI22
NGC6341,NGC 6341,22.32,146.0,7.98,0.32,0.32,LI22
NGC6341,NGC 6341,25.43,146.0,7.7,0.32,0.32,LI22
NGC6341,NGC 6341,28.79,146.0,7.9,0.32,0.32,LI22
NGC6341,NGC 6341,32.31,146.0,7.54,0.32,0.32,LI22
NGC6341,NGC 6341,35.45,146.0,8.02,0.32,0.32,LI22
NGC6341,NGC 6341,39.37,146.0,7.46,0.32,0.32,LI22
NGC6341,NGC 6341,42.83,146.0,7.78,0.32,0.32,LI22
NGC6341,NGC 6341,46.91,146.0,7.46,0.32,0.32,LI22
NGC6341,NGC 6341,50.57,146.0,7.09,0.28,0.28,LI22
NGC6341,NGC 6341,54.43,50.0,6.62,0.73,0.62,RV
NGC6341,NGC 6341,55.07,146.0,6.81,0.28,0.28,LI22
NGC6341,NGC 6341,59.56,146.0,7.25,0.32,0.32,LI22
NGC6341,NGC 6341,63.67,145.0,6.93,0.28,0.28,LI22
NGC6341,NGC 6341,66.6,100.0,6.05,0.48,0.42,VB21
NGC6341,NGC 6341,68.7,145.0,6.45,0.28,0.28,LI22
NGC6341,NGC 6341,74.56,145.0,6.97,0.28,0.28,LI22
NGC6341,NGC 6341,80.2,145.0,6.21,0.28,0.28,LI22
NGC6341,NGC 6341,88.98,145.0,6.0,0.24,0.24,LI22
NGC6341,NGC 6341,94.99,50.0,6.14,0.67,0.58,RV
NGC6341,NGC 6341,100.76,145.0,6.37,0.28,0.28,LI22
NGC6341,NGC 6341,137.85,50.0,4.94,0.55,0.46,RV
NGC6341,NGC 6341,182.82,50.0,4.5,0.5,0.43,RV
NGC6341,NGC 6341,183.76,100.0,5.21,0.42,0.38,VB21
NGC6341,NGC 6341,236.19,50.0,4.44,0.5,0.42,RV
NGC6341,NGC 6341,321.8,50.0,3.16,0.36,0.31,RV
NGC6341,NGC 6341,389.89,44.0,3.03,0.42,0.36,VB21
NGC6341,NGC 6341,570.84,47.0,3.1,0.38,0.32,RV
NGC6352,NGC 6352,11.69,57.0,3.15,0.24,0.24,LI22
NGC6352,NGC 6352,23.13,148.0,3.47,0.16,0.16,LI22
NGC6352,NGC 6352,36.71,148.0,3.34,0.16,0.16,LI22
NGC6352,NGC 6352,51.05,147.0,3.05,0.13,0.13,LI22
NGC6352,NGC 6352,63.72,147.0,3.15,0.13,0.13,LI22
NGC6352,NGC 6352,63.74,35.0,3.86,0.58,0.48,RV
NGC6352,NGC 6352,65.78,200.0,3.21,0.25,0.23,VB21
NGC6352,NGC 6352,76.89,147.0,3.36,0.16,0.16,LI22
NGC6352,NGC 6352,95.91,200.0,2.92,0.23,0.22,VB21
NGC6352,NGC 6352,128.42,200.0,3.1,0.26,0.24,VB21
NGC6352,NGC 6352,246.08,32.0,1.57,0.48,0.4,RV
NGC6362,NGC 6362,14.29,80.0,3.9,0.36,0.32,RV
NGC6362,NGC 6362,16.63,110.0,3.59,0.18,0.18,LI22
NGC6362,NGC 6362,25.3,80.0,3.18,0.33,0.29,RV
NGC6362,NGC 6362,31.36,110.0,3.37,0.18,0.18,LI22
NGC6362,NGC 6362,32.9,80.0,3.71,0.35,0.31,RV
NGC6362,NGC 6362,41.01,110.0,3.59,0.18,0.18,LI22
NGC6362,NGC 6362,49.85,110.0,3.41,0.18,0.18,LI22
NGC6362,NGC 6362,55.98,,4.29,0.45,0.4,D21
NGC6362,NGC 6362,56.85,109.0,3.52,0.18,0.18,LI22
NGC6362,NGC 6362,60.02,80.0,4.05,0.36,0.32,RV
NGC6362,NGC 6362,64.0,109.0,3.37,0.18,0.18,LI22
NGC6362,NGC 6362,72.29,109.0,3.19,0.18,0.18,LI22
NGC6362,NGC 6362,72.3,,4.21,0.43,0.38,D21
NGC6362,NGC 6362,78.97,109.0,3.44,0.18,0.18,LI22
NGC6362,NGC 6362,79.68,,3.88,0.39,0.34,D21
NGC6362,NGC 6362,84.54,,3.71,0.47,0.42,D21
NGC6362,NGC 6362,87.67,109.0,3.34,0.18,0.18,LI22
NGC6362,NGC 6362,88.14,,3.68,0.36,0.33,D21
NGC6362,NGC 6362,90.02,250.0,3.74,0.2,0.19,VB21
NGC6362,NGC 6362,97.45,109.0,3.55,0.18,0.18,LI22
NGC6362,NGC 6362,106.33,80.0,3.15,0.29,0.26,RV
NGC6362,NGC 6362,151.45,250.0,2.93,0.17,0.16,VB21
NGC6362,NGC 6362,177.13,80.0,2.68,0.25,0.22,RV
NGC6362,NGC 6362,211.74,250.0,3.08,0.18,0.16,VB21
NGC6362,NGC 6362,297.28,80.0,2.56,0.24,0.21,RV
NGC6362,NGC 6362,306.97,198.0,2.43,0.16,0.15,VB21
NGC6362,NGC 6362,451.18,12.0,1.82,0.57,0.4,RV
NGC6366,NGC 6366,35.8,95.0,2.3,0.13,0.13,LI22
NGC6366,NGC 6366,56.84,200.0,2.23,0.16,0.14,VB21
NGC6366,NGC 6366,61.11,95.0,2.4,0.15,0.15,LI22
NGC6366,NGC 6366,83.46,95.0,2.53,0.15,0.15,LI22
NGC6366,NGC 6366,84.77,80.0,2.03,0.22,0.2,RV
NGC6366,NGC 6366,115.99,200.0,2.41,0.16,0.15,VB21
NGC6366,NGC 6366,163.86,200.0,2.0,0.14,0.13,VB21
NGC6366,NGC 6366,184.6,80.0,2.23,0.22,0.2,RV
NGC6366,NGC 6366,226.49,200.0,2.11,0.15,0.14,VB21
NGC6366,NGC 6366,298.39,200.0,1.93,0.15,0.13,VB21
NGC6366,NGC 6366,342.84,72.0,2.17,0.24,0.21,RV
NGC6366,NGC 6366,438.9,170.0,1.79,0.15,0.14,VB21
NGC6397,NGC 6397,6.2,42.0,5.39,0.42,0.42,LI22
NGC6397,NGC 6397,7.17,200.0,5.74,0.33,0.3,RV
NGC6397,NGC 6397,15.11,200.0,5.51,0.31,0.29,RV
NGC6397,NGC 6397,20.34,96.0,5.14,0.27,0.27,LI22
NGC6397,NGC 6397,21.11,200.0,5.5,0.31,0.29,RV
NGC6397,NGC 6397,28.51,200.0,5.48,0.31,0.29,RV
NGC6397,NGC 6397,37.04,96.0,5.24,0.28,0.28,LI22
NGC6397,NGC 6397,37.13,200.0,4.96,0.29,0.26,RV
NGC6397,NGC 6397,50.63,96.0,5.25,0.28,0.28,LI22
NGC6397,NGC 6397,55.43,200.0,5.02,0.28,0.26,RV
NGC6397,NGC 6397,63.6,96.0,4.49,0.24,0.24,LI22
NGC6397,NGC 6397,80.97,96.0,5.42,0.28,0.28,LI22
NGC6397,NGC 6397,87.11,200.0,4.65,0.25,0.24,RV
NGC6397,NGC 6397,98.86,95.0,4.17,0.24,0.24,LI22
NGC6397,NGC 6397,119.11,450.0,4.54,0.16,0.15,VB21
NGC6397,NGC 6397,119.4,200.0,4.02,0.22,0.21,RV
NGC6397,NGC 6397,150.05,200.0,4.02,0.22,0.21,RV
NGC6397,NGC 6397,175.71,450.0,4.23,0.15,0.14,VB21
NGC6397,NGC 6397,186.23,200.0,3.99,0.21,0.2,RV
